DUN0900	As ever, market trends are against the way of life of a marginalised community. 
DUN0901	The evidence of the annual Caravan Show, which opened in Birmingham yesterday, is that the traditional caravan, the wheeled kitchenette that you attach to the back of a car, is being ousted much in the manner of red squirrels by grey by the all-in-one mobile home. 
DUN0902	Caravanners have been a despised minority for too long. 
DUN0903	They may not have known quite how much they were despised by the drivers of unencumbered vehicles travelling behind their swaying boxes on a motorway, but they sensed that they were discriminated against by the mainstream. 
DUN0904	And they knew that they were under-represented in Parliament, with only one of their number, Margaret Beckett, in the Cabinet. 
DUN0905	Mobile homes, meanwhile, have shaken off their image as overgrown camper vans and become fashionable, with the help of air-conditioning, built-in dishwashers and all mod cons. 
DUN0906	Surely, caravan-owners should react by going in the opposite direction, back to the simpler holiday life that is true to their origins. 
DUN0907	They could invent a more basic and portable form of accommodation. 
DUN0908	And call it a tent. 
DUN0910	Noam Chomsky, one of America's leading philosophers and an icon of the radical left, took centre stage in an Istanbul court yesterday when a judge threw out charges against the Turkish publisher of his book criticising treatment of the Kurdish minority. 
DUN0911	Bespectacled and mild-mannered, Mr Chomsky cut an unlikely figure in the crowded courtroom where 'crimes against the state' are tried. 
DUN0912	The 72-year-old linguistics professor watched as prosecutors abandoned earlier claims and accepted the defence argument that Fatih Tas, of Aram Publishing, had not spread separatist propaganda. 
DUN0913	The charge is often levelled at critics of Turkey's policy towards its estimated 12 million Kurds. 
DUN0914	Bekir Rayif Aldemir, the prosecutor, said he 'understood the book did not seek to divide the Turkish nation'. 
DUN0915	Mr Tas faced a year in prison for printing American Interventionism, a collection of Mr Chomsky's political essays in which he accuses Turkey of 'brutal repression' of the Kurds. 
DUN0916	'The prosecutor clearly made the right decision,' Mr Chomsky told reporters after the hearing. 
DUN0917	'Hopefully this will serve as a step for establishing freedom of speech in Turkey.' 
DUN0918	Mr Tas, a 22-year-old university student, has six other cases pending against him, carrying a possible 24-year prison term, all for printing articles or books dealing with the Kurdish issue. 
DUN0919	He called yesterday's ruling 'insincere' and suggested the presence of the professor from the Massachusetts Institute of Technology had helped him escape a jail sentence. 
DUN0920	'The case was dismissed, but this is not a sincere verdict, it was given because of Mr Chomsky's support,' he said. 
DUN0921	No charges were filed against Mr Chomsky. 
DUN0922	Defence lawyers had asked that he be included as a co-defendant, but prosecutors declined. 
DUN0923	A vocal critic of US foreign policy, Mr Chomsky said before the hearing that Americans had a responsibility to monitor and protest against human rights abuses in Turkey, which is a close ally. 
DUN0924	'When the United States provides 80 per cent of arms to Turkey for the express purpose of carrying out repression, that becomes my responsibility,' he said. 
DUN0925	The timing of Mr Chomsky's arrival could not have been worse for Turkey. 
DUN0926	Just a few streets from the State Security Court, where the hearing was held, the Turkish government was playing host to a high-profile international conference bringing together foreign ministers from Islamic and European Union countries. 
DUN0927	Most of the allegations of human rights abuses in Turkey stem from fighting between security forces and Kurdish rebels seeking self-rule. 
DUN0928	Some 37,000 people have died in the conflict, which began in 1984. 
DUN0929	Rebels declared a unilateral ceasefire after the 1999 capture of their leader, Abdullah Ocalan, and an atmosphere of relative peace now prevails. 
DUN0930	Turkey has started phasing out emergency rule in the mainly Kurdish regions. 
DUN0931	Also in 1999, Turkey became the first predominantly Muslim nation to join the EU's list of official candidates for membership. 
DUN0932	But the country's poor human rights record and the refusal to grant its estimated 12 million Kurds greater cultural rights are cited among the chief reasons why entry is continually delayed. 
DUN0933	Earlier this month, parliament passed a set of human rights reforms intended to help Turkey meet EU standards. 
DUN0935	The authenticity of a National Gallery Rubens has been called into question again. 
DUN0936	The last time Samson and Delilah was auctioned, two decades ago, it was the second most expensive painting ever sold. 
DUN0937	That must mean something. 
DUN0938	So, apart from the millions of pounds involved, and the reputation of our best art historians, critics and academics in what way, if any, does it matter? 
DUN0939	If the most educated experts can't tell for certain whether or not the thing's a Rubens, why should we art-proles worry? 
DUN0940	What does it lack, this almost perfect copy, or fake, or homage, or brilliant pupil's effort? 
DUN0941	What's the difference? 
DUN0942	What's the difference, indeed, between a perfect copy and its original? 
DUN0943	And what else are Monday mornings for than to consider the nature and value of art? 
DUN0944	First it must be said, perfect copies of oil paintings are impossible. 
DUN0945	Your old masters are just too peculiar. 
DUN0946	I don't believe much about art but I do believe that. 
DUN0947	It became clear for me at a Frick exhibition of Rembrandt self- portraits. 
DUN0948	We were kept back from the canvasses by a red rope a couple of feet from the wall. 
DUN0949	You could lean in and inspect the paint as close as you liked, limited only by the length of your nose. 
DUN0950	And in doing so, something very odd happened. 
DUN0952	Rembrandt's eye which had been so eloquent, so real, such a representation of a real eye, disappeared when you saw it from four inches away. 
DUN0953	It only reappeared when you leant back an inch or so. 
DUN0954	You leant in and the eye exploded, becoming a mess of specks, slashes, splashes, splodges, spiral lines. 
DUN0955	Its components were chaotic. 
DUN0956	You leant back and there it was, harmonious and full of meaning. 
DUN0957	Well, blank despair at any rate. 
DUN0958	There are more fakeable artists. 
DUN0959	In Orson Welles's film F for Fake, we saw the great forger Elmyr de Hory at the easel. 
DUN0960	Casually, in half-a-dozen brush strokes, he'd make a Matisse and then throw it on the fire, a Chagall and throw it on the fire, a Picasso and throw it on the fire. 
